"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.034688310E-1,5.632558465E-2,-3.344398737E-2,3.536796570E-2
9.136311840E-1,5.190107226E-2,-4.173344374E-2,3.052330017E-2
9.237935380E-1,3.102526069E-2,-4.180288315E-2,2.091121674E-2
9.339558910E-1,-9.681284428E-4,-3.106999397E-2,1.138114929E-2
9.441182450E-1,-6.067097187E-3,7.682859898E-3,4.232883453E-2
9.542805980E-1,3.419458866E-3,1.981765032E-2,6.813049316E-2
9.644429520E-1,1.275828481E-2,2.694058418E-2,8.414936066E-2
9.746053050E-1,2.874523401E-3,2.202188969E-2,6.678295135E-2
9.847676590E-1,-7.093548775E-3,3.133392334E-2,6.585502625E-2
9.949300120E-1,-2.162560821E-2,1.682859659E-2,7.676219940E-2
1.005092366E0,-1.678204536E-2,9.264767170E-3,7.550334930E-2
1.015254719E0,-1.724559069E-2,1.369726658E-2,-9.810161591E-2
1.025417073E0,-3.534579277E-2,3.532624245E-2,1.095495224E-1
1.035609944E0,-5.033433437E-2,6.092303991E-2,8.847141266E-2
1.045772297E0,-4.287883639E-2,5.276793242E-2,-7.594013214E-2
1.055934651E0,1.947787404E-2,3.375136852E-2,-1.074409485E-1
1.066097004E0,3.325021267E-2,4.190981388E-2,-6.281852722E-2
1.076259358E0,2.728998661E-2,2.341508865E-2,1.643466949E-2
1.086421711E0,-9.416848421E-3,2.527749538E-2,5.640411377E-2
1.096584065E0,-2.416592836E-2,3.589266539E-2,2.715206146E-2
1.106746418E0,-2.962648869E-3,6.065988541E-2,4.345512390E-2
1.116908772E0,6.109654903E-3,8.038568497E-2,9.722328186E-2
1.127071125E0,-1.276075840E-3,9.206700325E-2,1.240243912E-1
1.137233479E0,-6.100416183E-3,8.641701937E-2,9.595012665E-2
1.147395832E0,8.743107319E-4,6.442296505E-2,7.311820984E-2
1.157588704E0,7.602095604E-3,2.918195724E-2,5.786323547E-2
1.167751057E0,2.154737711E-3,-6.991028786E-4,6.875991821E-2
1.177913411E0,-5.656272173E-3,-2.165853977E-3,3.817558289E-3
1.188075764E0,-1.317071915E-2,3.217935562E-3,-6.001949310E-2
1.198238118E0,-2.265244722E-2,6.544351578E-3,-5.644702911E-2
1.208400471E0,-1.285365224E-2,-6.273150444E-3,1.557350159E-2
1.218562825E0,-2.465358377E-2,-1.675760746E-2,4.375076294E-2
1.228725178E0,-3.630006313E-2,-3.838062286E-3,3.834152222E-2
1.238887532E0,-5.021557212E-2,4.100382328E-3,1.408576965E-2
1.249049885E0,-5.000004172E-2,2.881234884E-2,6.821632385E-3
1.259212239E0,-5.448436737E-2,3.432798386E-2,1.386165619E-2
1.269374592E0,-5.395728350E-2,4.176515341E-2,2.785778046E-2
1.279536946E0,-4.604044557E-2,4.877614975E-2,5.580902100E-2
1.289699299E0,-1.433718204E-2,3.852760792E-2,7.616615295E-2
1.299892170E0,-1.935839653E-3,3.524810076E-2,5.121040344E-2
1.310054524E0,-6.642341614E-3,3.915667534E-2,-2.301502228E-2
1.320216877E0,-4.211515188E-2,4.350322485E-2,-8.403968811E-2
1.330379231E0,-5.068582296E-2,2.962213755E-2,-7.065868378E-2
1.340541584E0,-1.860380173E-2,2.568984032E-2,3.710460663E-2
1.350703938E0,1.967567205E-2,2.806007862E-2,1.427907944E-1
1.360866291E0,1.472863555E-2,3.599375486E-2,7.871437073E-2
1.371028645E0,1.001742482E-2,3.638511896E-2,-1.717472076E-2
1.381190998E0,5.037307739E-3,5.178236961E-2,5.175209045E-2
1.391353352E0,-1.722997427E-2,5.052775145E-2,1.003017426E-1
1.401515706E0,-6.778812408E-2,6.788748503E-2,5.824756622E-2
1.411678059E0,-1.074110568E-1,6.892406940E-2,-2.695226669E-1
1.421840413E0,-5.589628220E-2,4.436421394E-2,-4.768486023E-1
1.432002766E0,1.307241917E-1,-2.018821239E-2,3.555498123E-1
