"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.027509380E-1,1.942551136E-2,4.173332453E-2,8.091735840E-2
9.129132920E-1,3.064411879E-2,3.370773047E-2,8.422660828E-2
9.230756450E-1,3.728502989E-2,5.379186571E-2,6.386089325E-2
9.332379990E-1,2.546274662E-2,4.969871044E-2,2.267265320E-2
9.434003520E-1,2.138888836E-2,4.581519961E-2,-8.325576782E-3
9.535932240E-1,5.688905716E-3,4.251957685E-2,-2.703475952E-2
9.637250600E-1,-2.771377563E-3,3.765951842E-2,-2.759933472E-3
9.739179310E-1,1.185536385E-4,4.271036386E-2,7.299709320E-2
9.840497670E-1,-1.668715477E-2,3.100917675E-2,1.402521133E-1
9.942426380E-1,-2.540051937E-3,3.761534020E-2,1.331090927E-1
1.004404991E0,-6.954967976E-3,5.045888945E-2,5.522537231E-2
1.014567345E0,-1.326829195E-2,5.593029037E-2,-1.412487030E-2
1.024729698E0,-1.738625765E-2,5.211286619E-2,2.777099609E-3
1.034892052E0,-8.453369141E-3,4.194282740E-2,2.544403076E-3
1.045054405E0,-9.028077126E-3,3.531575203E-2,-1.702241898E-1
1.055216759E0,-5.039989948E-3,2.335131168E-3,-2.356090546E-1
1.065379112E0,2.710032463E-2,2.713207155E-3,7.629871368E-2
1.075541466E0,9.108406305E-2,2.903292701E-2,4.621315002E-1
1.085703819E0,8.427941799E-2,3.316455334E-2,2.766113281E-1
1.095866173E0,1.399934292E-3,3.178960085E-2,1.467094421E-1
1.106028526E0,-4.311472178E-2,-2.087987959E-4,-8.066082001E-2
1.116190880E0,-2.609711885E-2,-1.462908275E-2,-2.470741272E-1
1.126353233E0,-5.859255791E-3,-2.386068180E-2,-2.758913040E-1
1.136515587E0,4.670000076E-2,-2.224895172E-2,-1.529350281E-1
1.146677940E0,6.235456467E-2,-9.483592585E-3,8.123397827E-2
1.156840294E0,5.562400818E-2,1.410720125E-2,2.452173233E-1
1.167002647E0,1.569968462E-2,4.621238261E-2,2.787742615E-1
1.177165001E0,-5.371618271E-2,8.138140291E-2,2.267417908E-1
1.187327354E0,-9.473818541E-2,9.895996749E-2,1.213817596E-1
1.197489708E0,-8.234280348E-2,1.130699366E-1,2.254104614E-2
1.207652061E0,-4.702192545E-2,1.211865097E-1,-5.570125580E-2
1.217814415E0,1.064997911E-2,1.012695059E-1,-8.545207977E-2
1.227976768E0,5.489355326E-2,7.090391964E-2,-7.691192627E-2
1.238139122E0,5.531054735E-2,4.383846000E-2,-1.421451569E-2
1.248301476E0,4.596996307E-2,2.809483185E-2,7.340908051E-2
1.258463829E0,2.549570799E-2,2.894851193E-2,1.217088699E-1
1.268626183E0,3.996968269E-3,2.393777668E-2,1.101341248E-1
1.278788536E0,-9.111881256E-3,1.285293698E-2,4.454803467E-2
1.288950890E0,-1.713484526E-2,-2.030464076E-2,2.034378052E-2
1.299113243E0,-1.843863726E-2,-2.966150269E-2,2.479839325E-2
1.309275597E0,-2.527052164E-2,-3.142524511E-2,3.855705261E-2
1.319437950E0,-2.334952354E-2,-3.756421059E-2,4.493236542E-2
1.329600304E0,-2.891832590E-2,-4.102859274E-2,8.899211884E-2
1.339762657E0,-3.893893957E-2,-4.024112970E-2,1.370105743E-1
1.349925011E0,-7.913410664E-3,-1.690657809E-2,1.109628677E-1
1.360087364E0,2.343153954E-2,2.387549542E-2,1.698589325E-2
1.370249718E0,9.228765965E-3,6.570109725E-2,1.019887924E-1
1.380412071E0,-3.131031990E-4,7.797425240E-2,9.528827667E-2
1.390574425E0,1.785892248E-2,5.530075356E-2,-1.355400085E-1
1.400736778E0,4.854190350E-2,1.607705280E-2,-1.871547699E-1
1.410899132E0,6.330019236E-2,2.940836363E-2,-1.011800766E-1
1.421061485E0,6.054002047E-2,5.124303326E-2,-5.685234070E-2
1.431223839E0,4.332554340E-2,5.923774093E-2,8.983612061E-4
1.441386192E0,2.106934786E-2,6.180707365E-2,6.941699982E-2
